Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/18/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          06/16",-41.00,DEBIT_CARD,1225.74,,
DEBIT,06/18/2018,"7-ELEVEN SAN ANTONIO TX                      06/16",-2.37,DEBIT_CARD,1266.74,,
DEBIT,06/18/2018,"QuickPay with Zelle payment to Mama 7237016400",-925.00,CHASE_TO_PARTNERFI,1269.11,,
DEBIT,06/18/2018,"TWC*TIME WARNER CABLE 888-TWCABLE TX         06/18",-87.00,DEBIT_CARD,2194.11,,
DEBIT,06/18/2018,"SPRINT *WIRELESS 800-639-6111 KS             06/17",-140.25,DEBIT_CARD,2281.11,,
DEBIT,06/18/2018,"SPEEDY CASH 888-3331360 KS                   06/15",-44.67,DEBIT_CARD,2421.36,,
CREDIT,06/18/2018,"Online Transfer from SAV ...1797 transaction#: 7239079321",100.00,ACCT_XFER,2466.03,,
CREDIT,06/18/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7238741963",200.00,PARTNERFI_TO_CHASE,2366.03,,
DEBIT,06/15/2018,"AmazonPrime Membersh amzn.com/prme WA        06/14",-14.06,DEBIT_CARD,2166.03,,
DEBIT,06/15/2018,"ATM WITHDRAWAL                       003670  06/158014 BAND",-180.00,ATM,2180.09,,
DEBIT,06/15/2018,"TRANSFER TO SAV XXXXX1797 06/15",-50.00,ACCT_XFER,2360.09,,
CREDIT,06/15/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2410.09,,
DEBIT,06/13/2018,"PRIVATEINTERNETACCES HTTPSWWW.PRIV CO        06/12",-6.95,DEBIT_CARD,53.35,,
DEBIT,06/13/2018,"Amazon.com AMZN.COM/BILL WA                  06/13",-32.28,DEBIT_CARD,60.30,,
DEBIT,06/12/2018,"LEMONADE.COM LEMONADE.COM NY                 06/11",-20.42,DEBIT_CARD,92.58,,
DEBIT,06/12/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              06/10",-119.95,DEBIT_CARD,113.00,,
DEBIT,06/11/2018,"WAL-MART #5146 SAN ANTONIO TX                06/10",-10.35,DEBIT_CARD,232.95,,
DEBIT,06/11/2018,"DIAMOND SHINE SAN ANTONIO TX                 06/09",-6.00,DEBIT_CARD,243.30,,
DEBIT,06/08/2018,"VONAGE *PRICE+TAXES 866-243-4357 NJ          06/08",-40.37,DEBIT_CARD,249.30,,
DEBIT,06/07/2018,"JIMMY JOHNS - 979 - E 210-820-0800 TX        06/06",-12.07,DEBIT_CARD,289.67,,
DEBIT,06/07/2018,"SIR WINSTONS PUB SAN ANTONIO TX              06/05",-8.50,DEBIT_CARD,301.74,,
DEBIT,06/06/2018,"Spotify USA 646-8375380 NY                   06/06",-16.23,DEBIT_CARD,310.24,,
DEBIT,06/06/2018,"Amazon Digital Svcs amzn.com/bill WA         06/06",-9.73,DEBIT_CARD,326.47,,
DEBIT,06/06/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          06/05",-20.00,DEBIT_CARD,336.20,,
DEBIT,06/06/2018,"SQ *SARAH 877-417-4551 TX                    06/05",-20.00,DEBIT_CARD,356.20,,
DEBIT,06/06/2018,"CKE*BIRD BAKERY      5 SAN ANTONIO TX        06/05",-4.75,DEBIT_CARD,376.20,,
DEBIT,06/05/2018,"SLING.COM 888-393-6312 CO                    06/04",-21.64,DEBIT_CARD,380.95,,
DEBIT,06/05/2018,"Seville          WEB PMTS   1RRP41          WEB ID: 9084434801",-1096.81,ACH_DEBIT,402.59,,
DEBIT,06/04/2018,"Upwork -183219440Memb 165-08534100 CA        06/01",-10.00,DEBIT_CARD,1499.40,,
DEBIT,06/04/2018,"Netflix.com netflix.com CA                   06/03",-15.14,DEBIT_CARD,1509.40,,
DEBIT,06/04/2018,"HEB  #102 SAN ANTONIO TX                     06/03",-37.16,DEBIT_CARD,1524.54,,
DEBIT,06/04/2018,"QuickPay with Zelle payment to Mama 7200184161",-700.00,CHASE_TO_PARTNERFI,1561.70,,
DEBIT,06/04/2018,"Amazon Digital Svcs amzn.com/bill WA         06/02",-9.73,DEBIT_CARD,2261.70,,
DEBIT,06/04/2018,"SNOW VN RESTAURANT SAN ANTONIO TX            06/01",-25.52,DEBIT_CARD,2271.43,,
DEBIT,06/04/2018,"SPEEDY CASH 888-3331360 KS                   05/31",-44.67,DEBIT_CARD,2296.95,,
DEBIT,06/01/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-31.39,ACH_DEBIT,2341.62,,
DEBIT,06/01/2018,"TRANSFER TO SAV XXXXX1797 06/01",-50.00,ACCT_XFER,2373.01,,
CREDIT,05/31/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2423.01,,
DEBIT,05/29/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        05/29",-6.68,DEBIT_CARD,66.27,,
DEBIT,05/29/2018,"SHELL Service Station SAN ANTONIO TX 089195  05/28",-2.70,DEBIT_CARD,72.95,,
DEBIT,05/29/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          05/25",-30.00,DEBIT_CARD,75.65,,
CREDIT,05/25/2018,"Online Transfer from SAV ...1797 transaction#: 7177392234",50.00,ACCT_XFER,105.65,,
DEBIT,05/24/2018,"DNH*GODADDY.COM 480-5058855 AZ               05/23",-14.91,DEBIT_CARD,55.65,,
DEBIT,05/23/2018,"DNH*GODADDY.COM 480-5058855 AZ               05/22",-15.17,DEBIT_CARD,70.56,,
DEBIT,05/23/2018,"TWC*TIME WARNER CABLE 888-TWCABLE TX         05/23",-87.00,DEBIT_CARD,85.73,,
DEBIT,05/22/2018,"DNH*GODADDY.COM 480-5058855 AZ               05/21",-10.65,DEBIT_CARD,172.73,,
DEBIT,05/22/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          05/21",-40.00,DEBIT_CARD,183.38,,
DEBIT,05/22/2018,"HEB  #556 SAN ANTONIO TX                     05/21",-13.78,DEBIT_CARD,223.38,,
DEBIT,05/22/2018,"INDIA PALACE SAN ANTONIO TX                  05/22",-18.96,DEBIT_CARD,237.16,,
DEBIT,05/21/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        05/21",-4.52,DEBIT_CARD,256.12,,
DEBIT,05/21/2018,"Amazon Video On Dema AMZN.COM/bill WA        05/21",-3.24,DEBIT_CARD,260.64,,
DEBIT,05/21/2018,"PLAYSTATION NETWORK 800-345-7669 CA          05/20",-10.80,DEBIT_CARD,263.88,,
DEBIT,05/21/2018,"WEI KEE CHINESE RESTAU SAN ANTONIO TX        05/19",-9.04,DEBIT_CARD,274.68,,
DEBIT,05/21/2018,"7-ELEVEN SAN ANTONIO TX                      05/19",-4.52,DEBIT_CARD,283.72,,
DEBIT,05/21/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            05/19",-10.85,DEBIT_CARD,288.24,,
DEBIT,05/21/2018,"MCDONALD'S F2881 SAN ANTONIO TX              05/18",-4.43,DEBIT_CARD,299.09,,
DEBIT,05/21/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           05/18",-10.11,DEBIT_CARD,303.52,,
DEBIT,05/21/2018,"U-HAUL MOVING & STORAG SAN ANTONIO TX        05/17",-87.90,DEBIT_CARD,313.63,,
DEBIT,05/21/2018,"LAS PALAPAS - CHUR SAN ANTONIO TX            05/17",-6.12,DEBIT_CARD,401.53,,
DEBIT,05/18/2018,"MBI*PROBILLER.COM/BZ 8552329585 CA           05/18",-9.99,DEBIT_CARD,407.65,,
DEBIT,05/18/2018,"CarMax Auto      Finance    CARMAX030995118 WEB ID: E541821055",-376.35,ACH_DEBIT,417.64,,
DEBIT,05/18/2018,"TRANSFER TO SAV XXXXX1797 05/18",-50.00,ACCT_XFER,793.99,,
DEBIT,05/18/2018,"BOX*BOX.NET CONSMR SRV 877-7294269 CA        05/17",-10.66,DEBIT_CARD,843.99,,
DEBIT,05/18/2018,"SPRINT *WIRELESS 800-639-6111 KS             05/18",-140.25,DEBIT_CARD,854.65,,
DEBIT,05/18/2018,"MBI-PROBILLER.COM/RK 877-446-0668            05/16",-17.95,DEBIT_CARD,994.90,,
DEBIT,05/17/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.83,ACH_DEBIT,1012.85,,
DEBIT,05/17/2018,"AmazonPrime Membersh amzn.com/prme WA        05/17",-14.06,DEBIT_CARD,1023.68,,
DEBIT,05/17/2018,"MCDONALD'S F2881 SAN ANTONIO TX              05/16",-4.43,DEBIT_CARD,1037.74,,
DEBIT,05/16/2018,"SPEEDY CASH 888-3331360 KS                   05/15",-171.00,DEBIT_CARD,1042.17,,
DEBIT,05/16/2018,"SPEEDY CASH 888-3331360 KS                   05/15",-82.29,DEBIT_CARD,1213.17,,
DEBIT,05/15/2018,"AmazonPrime Membersh amzn.com/prme WA        05/14",-14.06,DEBIT_CARD,1295.46,,
DEBIT,05/15/2018,"QuickPay with Zelle payment to Mama 7150272272",-1080.00,CHASE_TO_PARTNERFI,1309.52,,
DEBIT,05/15/2018,"ATM WITHDRAWAL                       000841  05/158014 BAND",-20.00,ATM,2389.52,,
CREDIT,05/15/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2409.52,,
CREDIT,05/15/2018,"ATM CASH DEPOSIT 05/15 8014 BANDERA RD SAN ANTONIO TX",10.00,ATM,52.78,,
DEBIT,05/14/2018,"PRIVATEINTERNETACCES HTTPSWWW.PRIV CO        05/12",-6.95,DEBIT_CARD,42.78,,
DEBIT,05/14/2018,"LEMONADE.COM 8447338666 NY                   05/10",-20.42,DEBIT_CARD,49.73,,
DEBIT,05/14/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              05/10",-119.95,DEBIT_CARD,70.15,,
DEBIT,05/11/2018,"CORNER STORE 2196 ALAMO HEIGHTS TX   642963  05/11",-3.98,DEBIT_CARD,190.10,,
DEBIT,05/11/2018,"FINE SPIR 5140 Broad ALAMO HEIGHTS TX        05/11",-2.15,DEBIT_CARD,194.08,,
DEBIT,05/11/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        05/11",-4.14,DEBIT_CARD,196.23,,
DEBIT,05/10/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        05/10",-4.52,DEBIT_CARD,200.37,,
DEBIT,05/10/2018,"JIMMY JOHNS - 979 - E 210-820-0800 TX        05/09",-10.44,DEBIT_CARD,204.89,,
DEBIT,05/09/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          05/08",-31.00,DEBIT_CARD,215.33,,
CREDIT,05/09/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7131864012",50.00,PARTNERFI_TO_CHASE,246.33,,
DEBIT,05/08/2018,"VONAGE *PRICE+TAXES 866-243-4357 NJ          05/08",-40.37,DEBIT_CARD,196.33,,
CREDIT,05/08/2018,"Online Transfer from SAV ...1797 transaction#: 7131875843",50.00,ACCT_XFER,236.70,,
DEBIT,05/07/2018,"Spotify USA 646-8375380 NY                   05/06",-16.23,DEBIT_CARD,186.70,,
DEBIT,05/07/2018,"SLING.COM 888-393-6312 CO                    05/04",-21.64,DEBIT_CARD,202.93,,
DEBIT,05/07/2018,"Amazon Digital Svcs amzn.com/bill WA         05/06",-9.73,DEBIT_CARD,224.57,,
DEBIT,05/04/2018,"Netflix.com netflix.com CA                   05/03",-15.14,DEBIT_CARD,234.30,,
DEBIT,05/04/2018,"Seville          WEB PMTS   Y01341          WEB ID: 9084434801",-1067.27,ACH_DEBIT,249.44,,
DEBIT,05/04/2018,"TRANSFER TO SAV XXXXX1797 05/04",-50.00,ACCT_XFER,1316.71,,
DEBIT,05/03/2018,"60499 - UNIVERSITY HEA SAN ANTONIO TX        05/02",-1.00,DEBIT_CARD,1366.71,,
DEBIT,05/02/2018,"Upwork -178688657Memb 165-08534100 CA        05/01",-10.00,DEBIT_CARD,1367.71,,
DEBIT,05/02/2018,"Amazon Digital Svcs amzn.com/bill WA         05/02",-9.73,DEBIT_CARD,1377.71,,
DEBIT,05/02/2018,"BEXAR COUNTY HOSP DT SAN ANTONIO TX          05/01",-36.11,DEBIT_CARD,1387.44,,
DEBIT,05/01/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           04/30",-12.32,DEBIT_CARD,1423.55,,
DEBIT,05/01/2018,"SPEEDY CASH 888-3331360 KS                   04/30",-82.29,DEBIT_CARD,1435.87,,
DEBIT,04/30/2018,"HEB  #102 SAN ANTONIO TX                     04/29",-71.48,DEBIT_CARD,1518.16,,
DEBIT,04/30/2018,"QuickPay with Zelle payment to Mama 7102771540",-300.00,CHASE_TO_PARTNERFI,1589.64,,
DEBIT,04/30/2018,"CORNER STORE 1045 SAN ANTONIO TX     075887  04/28",-2.26,DEBIT_CARD,1889.64,,
DEBIT,04/30/2018,"HEB  #623 SAN ANTONIO TX                     04/28",-26.67,DEBIT_CARD,1891.90,,
DEBIT,04/30/2018,"SPORT CLIPS - TX323 - SAN ANTONIO TX         04/28",-23.00,DEBIT_CARD,1918.57,,
DEBIT,04/30/2018,"QuickPay with Zelle payment to BETHANY 7101032114",-500.00,QUICKPAY_DEBIT,1941.57,,
CREDIT,04/30/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2441.57,,
DEBIT,04/27/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/27",-5.68,DEBIT_CARD,84.83,,
DEBIT,04/25/2018,"UHS PHARMACY-DOWNTOWN SAN ANTONIO TX         04/24",-20.00,DEBIT_CARD,90.51,,
DEBIT,04/24/2018,"DNH*GODADDY.COM 480-5058855 AZ               04/23",-14.91,DEBIT_CARD,110.51,,
CREDIT,04/24/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7090594963",65.00,PARTNERFI_TO_CHASE,125.42,,
DEBIT,04/23/2018,"DNH*GODADDY.COM 480-5058855 AZ               04/21",-10.65,DEBIT_CARD,60.42,,
DEBIT,04/23/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          04/21",-5.00,DEBIT_CARD,71.07,,
DEBIT,04/23/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          04/21",-40.75,DEBIT_CARD,76.07,,
DEBIT,04/23/2018,"QuickPay with Zelle payment to D. F. Account 7083404329",-100.00,CHASE_TO_PARTNERFI,116.82,,
DEBIT,04/23/2018,"QuickPay with Zelle payment to D. F. Account 7083139152",-20.00,CHASE_TO_PARTNERFI,216.82,,
DEBIT,04/23/2018,"7-ELEVEN SAN ANTONIO TX                      04/21",-4.60,DEBIT_CARD,236.82,,
DEBIT,04/23/2018,"BILL MILLER BAR-B-Q - SAN ANTONIO TX         04/21",-18.54,DEBIT_CARD,241.42,,
DEBIT,04/23/2018,"PLAYSTATION NETWORK 800-345-7669 CA          04/20",-10.80,DEBIT_CARD,259.96,,
CREDIT,04/23/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7081964103",50.00,PARTNERFI_TO_CHASE,270.76,,
CREDIT,04/23/2018,"Online Transfer from SAV ...1797 transaction#: 7083147948",50.00,ACCT_XFER,220.76,,
CREDIT,04/23/2018,"ATM CASH DEPOSIT 04/21 12503 NW MILITARY HWY SAN ANTONIO TX",90.00,ATM,170.76,,
DEBIT,04/20/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/20",-4.52,DEBIT_CARD,80.76,,
DEBIT,04/20/2018,"TRANSFER TO SAV XXXXX1797 04/20",-50.00,ACCT_XFER,85.28,,
DEBIT,04/20/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        04/20",-12.98,DEBIT_CARD,135.28,,
DEBIT,04/20/2018,"ORDERUP SAN ANTONIO TX                       04/19",-17.75,DEBIT_CARD,148.26,,
DEBIT,04/20/2018,"SPEEDY CASH 888-3331360 KS                   04/18",-20.00,DEBIT_CARD,166.01,,
DEBIT,04/19/2018,"HEB  #102 SAN ANTONIO TX                     04/18",-24.79,DEBIT_CARD,186.01,,
DEBIT,04/19/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           04/18",-9.92,DEBIT_CARD,210.80,,
DEBIT,04/19/2018,"MBI-PROBILLER.COM/RK 877-446-0668            04/18",-17.95,DEBIT_CARD,220.72,,
DEBIT,04/18/2018,"MBI*PROBILLER.COM/BZ 8552329585 CA           04/18",-9.99,DEBIT_CARD,238.67,,
DEBIT,04/18/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/18",-4.52,DEBIT_CARD,248.66,,
DEBIT,04/18/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/17",-6.68,DEBIT_CARD,253.18,,
DEBIT,04/18/2018,"BOX*BOX.NET CONSMR SRV 877-7294269 CA        04/17",-10.66,DEBIT_CARD,259.86,,
DEBIT,04/18/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           04/17",-9.82,DEBIT_CARD,270.52,,
DEBIT,04/18/2018,"BIRD BAKERY LLC SAN ANTONIO TX               04/17",-8.98,DEBIT_CARD,280.34,,
DEBIT,04/17/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.83,ACH_DEBIT,289.32,,
DEBIT,04/17/2018,"FINE SPIRITS EMPORIUM SAN ANTONIO TX         04/16",-6.44,DEBIT_CARD,300.15,,
DEBIT,04/17/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        04/16",-2.16,DEBIT_CARD,306.59,,
DEBIT,04/17/2018,"SPEEDY CASH 888-3331360 KS                   04/15",-430.00,DEBIT_CARD,308.75,,
DEBIT,04/17/2018,"U-HAUL MOVING & STORAG SAN ANTONIO TX        04/14",-87.90,DEBIT_CARD,738.75,,
DEBIT,04/16/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,826.65,,
DEBIT,04/16/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,829.15,,
DEBIT,04/16/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,831.65,,
DEBIT,04/16/2018,"PRIVATEINTERNETACCES HTTPSWWW.PRIV CO        04/12",-6.95,DEBIT_CARD,834.15,,
DEBIT,04/16/2018,"AmazonPrime Membersh amzn.com/prme WA        04/14",-14.06,DEBIT_CARD,841.10,,
DEBIT,04/16/2018,"CarMax Auto      Finance    CARMAX030362355 WEB ID: E541821055",-376.35,ACH_DEBIT,855.16,,
DEBIT,04/16/2018,"QuickPay with Zelle payment to D. F. Account 7067377359",-63.51,CHASE_TO_PARTNERFI,1231.51,,
DEBIT,04/16/2018,"SPRINT *WIRELESS 800-639-6111 KS             04/16",-142.99,DEBIT_CARD,1295.02,,
DEBIT,04/16/2018,"NON-CHASE ATM WITHDRAW               097985  04/15111 NW LO",-68.00,ATM,1438.01,,
DEBIT,04/16/2018,"NON-CHASE ATM WITHDRAW               085686  04/15111 NW LO",-28.00,ATM,1506.01,,
DEBIT,04/16/2018,"NON-CHASE ATM WITHDRAW               091326  04/14111 NW LO",-88.00,ATM,1534.01,,
DEBIT,04/16/2018,"SACOLO LTD - TX SAN ANTONIO TX               04/15",-104.75,DEBIT_CARD,1622.01,,
DEBIT,04/16/2018,"FAST EDDIES BILLIARDS SAN ANTONIO TX         04/14",-14.15,DEBIT_CARD,1726.76,,
DEBIT,04/16/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        04/15",-10.48,DEBIT_CARD,1740.91,,
DEBIT,04/16/2018,"ATM WITHDRAWAL                       006651  04/1412503 NW",-100.00,ATM,1751.39,,
DEBIT,04/16/2018,"ATM WITHDRAWAL                       008054  04/148014 BAND",-160.00,ATM,1851.39,,
DEBIT,04/16/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           04/13",-15.27,DEBIT_CARD,2011.39,,
DEBIT,04/16/2018,"TWC*TIME WARNER CABLE 888-TWCABLE TX         04/15",-87.00,DEBIT_CARD,2026.66,,
DEBIT,04/16/2018,"CHELAS TACO SAN ANTONIO TX                   04/14",-27.34,DEBIT_CARD,2113.66,,
CREDIT,04/16/2018,"QuickPay with Zelle payment from BETHANY A JONES 7065848437",500.00,QUICKPAY_CREDIT,2141.00,,
DEBIT,04/13/2018,"QuickPay with Zelle payment to Mama 7063571745",-376.00,CHASE_TO_PARTNERFI,1641.00,,
DEBIT,04/13/2018,"QuickPay with Zelle payment to D. F. Account 7063017531",-65.00,CHASE_TO_PARTNERFI,2017.00,,
DEBIT,04/13/2018,"FINE SPIR 5140 Broad ALAMO HEIGHTS TX        04/13",-5.37,DEBIT_CARD,2082.00,,
DEBIT,04/13/2018,"QuickPay with Zelle payment to Mama 7060797471",-730.00,CHASE_TO_PARTNERFI,2087.37,,
DEBIT,04/13/2018,"BIRD BAKERY LLC SAN ANTONIO TX               04/12",-6.98,DEBIT_CARD,2817.37,,
DEBIT,04/13/2018,"U-HAUL SAN PEDRO SAN ANTONIO TX              04/10",-119.95,DEBIT_CARD,2824.35,,
CREDIT,04/13/2018,"QuickPay with Zelle payment from VICTOR MAYORGA 7063405996",343.00,PARTNERFI_TO_CHASE,2944.30,,
CREDIT,04/13/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2601.30,,
DEBIT,04/12/2018,"HEB  #102 SAN ANTONIO TX                     04/11",-8.78,DEBIT_CARD,244.56,,
DEBIT,04/11/2018,"SHELL Service Station SAN ANTONIO TX 081206  04/11",-28.94,DEBIT_CARD,253.34,,
